"Acc. Date";"Acc. No.";"Class No.";Author;Title;"Vol. No.";Ed.;"Pub. Name";"Pub. Place";Year;Pages;Subject
0000-00-00;DIS1;;"Pawar Sushant J.";"Mean-shift based object tecking tracking with tracker initialization using change detection for smart camera applications";;;;;2010;56;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS2;;"Biradar Shashank D";"Porting vx works rtos on xilinx virtex 4 ml410";;;;;2010;64;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS3;;"Shaikh Salma B";"Protocol implementation for automatic meter reading using power line communication";;;;;2010;75;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS4;;"Marode Sandeep Arun";"Computer vision based offset error computation for web printing machines using fpga";;;;;2010;61;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS5;;"Bhangdiya vikas kamalkishor";"Under vehicle survillence system";;;;;2010;49;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS6;;"Nandedkar Sanjivani Ekanathrao";"Image coding using dual-tree discrete wavelet transform";;;;;2009;56;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS7;;"Ingle Rahul R";"Performance model for fast fourier transform";;;;;2010;64;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS8;;"Lokhande Geetanjali V";"Study of Robust Water Making In Wavelet Domain Using Spread Spectrum Basis";;;;;2010;58;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS9;;"Shilpa B U";"An effective iris recognition system for identification of humans";;;;;2010;55;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS10;;"Vyawhare Samata Gyanoba";"Extraction of complex wavelet features for iris recognition";;;;;2010;48;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS11;;"Vekhande Swapnil Sudhir";"Fingerprint orientation refinement and classification based on 2d fourier expansion";;;;;2010;49;"Instrumentation Engineering"
0000-00-00;DIS12;;"Namewar Manjusha Nagoba";"Unsupervised texture classification by extracting multi-scale features";;;;;2010;49;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS13;;"Shah Vipul Kanaiyalal";"Image retrieval using fourier shape descriptors";;;;;2010;71;"Electronics &amp; Telecommunication Engineering"
0000-00-00;DIS14;;"Joshi Sanjay B";"Number plate identification based on image processing techniques";;;;;2010;57;"Instrumentation Engineering"
0000-00-00;DIS15;;"Jabde Sanjay C";"Automation of sterilization process & clean-in-place (cip) plant using hybrid distributed control system";;;;;2010;92;"Instrumentation Engineering"
0000-00-00;DIS16;;"Sukalkar Mayra P";"Automation of tar separation plant, burnpur";;;;;2011;151;"Instrumentation Engineering"
0000-00-00;DIS17;;"Sonkhaskar Madhuri M";"Digital image watermarking using singular value decomposition and genetic algorithm";;;;;2011;74;"Electronics and Telecommunication"
0000-00-00;DIS18;;"Jagtap Jayant Janardhan";"Human age classification using 2-d gabor wavelet and neural network";;;;;2011;39;"Electronics and Telecommunication"
0000-00-00;DIS19;;"Daimi Syed Naser Syed Waheeduddin";"Application of wavelet networks in single trial estimation of vep, ecg noise reduction and classification";;;;;2011;73;"Electronics and Telecommunication"
0000-00-00;DIS20;;"Pramanik Meenakshi";"Texture segmentation using multichannel filtering and kohonen""s self orginizing map";;;;;2011;53;"Electronics and Telecommunication"
0000-00-00;DIS21;;"Chaudhari Abhishek G";"Reconstruction of torn page based on corner and segment matching";;;;;2011;40;"Electronics and Telecommunication"
0000-00-00;DIS22;;"Rote Manoj D";"Parallel key rsa crypto-processor implementation on fpga for multimedia application";;;;;2011;35;"Electronics and Telecommunication"
0000-00-00;DIS23;;"Narkhede Manish M";"Electronic gear shifting based on fuzzy neural decision making model";;;;;2011;53;"Electronics and Telecommunication"
0000-00-00;DIS24;;"Ameen Alfiya A";"Design and simulation of mems capacitive pressure sensor for bite force measurement";;;;;2011;48;"Instrumentation Engineering"
0000-00-00;DIS25;;"Sangitrao Rachana R";"Automation of sewage treatment plant using plc & scada";;;;;2011;81;"Instrumentation Engineering"
0000-00-00;DIS26;;"Vatne Ashwinkumar A";"Feature extraction and analysis of ecg signal using wavelet transform";;;;;2011;61;"Instrumentation Engineering"
0000-00-00;DIS27;;"Gajbhar Shrishail Sharad";"Person verification system based on iris texture features";;;;;2011;107;"Instrumentation Engineering"
0000-00-00;DIS28;;"Dasarwar Archana Ramesh";"Inter carrier interference self cancellation scheme for ofdm mobile communication system";;;;;2011;68;"Electronics and Telecommunication"
0000-00-00;DIS29;;"Muley Shilpa Madhukar";"Dct based iris recognition";;;;;2011;57;"Electronics and Telecommunication"
0000-00-00;DIS30;;"Muley Manoj S";"Control of advanced heavy water reactor";;;;;2011;94;"Instrumentation Engineering"
0000-00-00;DIS31;;"Parkhe Jayant";"Some studies on control of nuclear reactors";;;;;2011;97;"Instrumentation Engineering"
0000-00-00;DIS32;;"Pandagale Martand P";"Thermal analysis of heat pipe oven plasma chamber for photo-ionized lithium plasma for wakefield accelerator experiment";;;;;2011;43;"Production Engineering"
0000-00-00;DIS33;;"Chapke Yashwant U";"Factory flow based material flow analysis";;;;;2011;75;"Production Engineering"
0000-00-00;DIS34;;"Mashalkar Anil Shivsharan";"A method to take forming analysis data into the crashworthiness model: case study of automotive chassis structure crash analysis";;;;;2011;45;"Production Engineering"
0000-00-00;DIS35;;"Hese Nitin Khirappa";"Enhancement of tracking mechanism of some computer aided design features";;;;;2011;53;"Production Engineering"
0000-00-00;DIS36;;"Makane Vishal Shivdarshan";"Design of power and free conveyor";;;;;2011;54;"Production Engineering"
0000-00-00;DIS37;;"Salunke M D";"Analysis of porous metal journal beaking by finite element method";;;;;2011;67;"Production Engineering"
0000-00-00;DIS38;;"Joshi Nilesh B";"Finite element analysis of spur gear crack propagation for optimal weight to life ratio";;;;;2011;59;"Production Engineering"
0000-00-00;DIS39;;"Machkale Prashanth D";"Finite element analysis of transient thermoelastic contract in fgake dise rotar";;;;;2011;76;"Production Engineering"
0000-00-00;DIS40;;"Satav Pratik Kisan";"Multi model assembly line balaning";;;;;2011;38;"Production Engineering"
